language,keyphrase,tfidf
python,python read,0.033758447
swift,swift swift,0.220997218
swift,ios 10,0.161914609
swift,using swift,0.147331479
swift,swift ios,0.136807802
swift,swift xcode,0.115760448
swift,ios swift,0.105236771
swift,view controller,0.094713094
swift,value type,0.071962048
swift,ios app,0.063142062
swift,string swift,0.063142062
swift,swift does,0.063142062
swift,swift migration,0.063142062
swift,xcode swift,0.063142062
swift,convert value,0.052618385
swift,swift 39,0.052618385
swift,value swift,0.052618385
swift,type 39,0.046410595
swift,type quot,0.04497628
swift,array swift,0.042094708
swift,collection view,0.042094708
swift,convert value type,0.042094708
swift,expected argument,0.042094708
swift,navigation bar,0.042094708
swift,push notifications,0.042094708
swift,swift convert,0.042094708
swift,swift firebase,0.042094708
swift,swift getting,0.042094708
swift,swift set,0.042094708
swift,swift use,0.042094708
swift,type swift,0.042094708
matlab,matlab matlab,0.249344321
matlab,using matlab,0.17286604
matlab,matlab using,0.12964953
matlab,function matlab,0.118845402
matlab,array matlab,0.108041275
matlab,matlab create,0.097237147
matlab,matrix matlab,0.097237147
matlab,cell array,0.08643302
matlab,matlab function,0.08643302
matlab,data matlab,0.073879799
matlab,39 39 39,0.064644824
matlab,39 39,0.059482699
matlab,loop matlab,0.055409849
matlab,file matlab,0.054020637
matlab,matlab 39,0.054020637
matlab,matlab plot,0.054020637
matlab,functions matlab,0.04321651
matlab,image matlab,0.04321651
matlab,matlab 3d,0.04321651
matlab,matlab gui,0.04321651
matlab,symbolic expression,0.04321651
matlab,39 matlab,0.032412382
matlab,camera calibration,0.032412382
matlab,condition matlab,0.032412382
matlab,different color,0.032412382
matlab,elements matrix,0.032412382
matlab,execute matlab,0.032412382
matlab,matlab array,0.032412382
matlab,matlab converting,0.032412382
matlab,matlab extract,0.032412382
C,segmentation fault,0.115321
C,char array,0.073738234
C,linked list,0.065897714
C,array pointer,0.061308196
C,txt file,0.0520551
C,character char,0.049046557
C,39 39,0.046735689
C,2d array,0.046086396
C,likely unlikely,0.041923211
C,undefined reference,0.041923211
C,file array,0.036869117
C,array pointers,0.036784918
C,character char array,0.036784918
C,child process,0.036784918
C,linux kernel,0.036784918
C,main function,0.036784918
C,unsigned char,0.036784918
C,floating point,0.032948857
C,visual studio,0.032948857
C,39 int,0.031442408
C,character array,0.031442408
C,text file,0.030864597
C,doesn 39,0.028645465
C,file using,0.027037601
C,user input,0.024711643
C,39 define,0.024523278
C,array delete,0.024523278
C,array printf,0.024523278
C,array replace,0.024523278
C,arrays functions,0.024523278
