,language,year,month,answer_count
727,python,2011,12,7436
728,python,2012,1,8891
729,python,2012,2,9106
730,python,2012,3,10366
731,python,2012,4,9557
732,python,2012,5,10013
733,python,2012,6,10185
734,python,2012,7,11141
735,python,2012,8,11029
736,python,2012,9,9788
737,python,2012,10,11395
738,python,2012,11,11499
739,python,2012,12,10222
740,python,2013,1,11437
741,python,2013,2,11474
742,python,2013,3,13001
743,python,2013,4,13307
744,python,2013,5,13091
745,python,2013,6,12604
746,python,2013,7,14602
747,python,2013,8,13166
748,python,2013,9,12962
749,python,2013,10,15546
750,python,2013,11,15508
751,python,2013,12,13645
752,python,2014,1,15535
753,python,2014,2,15232
754,python,2014,3,17138
755,python,2014,4,15898
756,python,2014,5,12897
757,python,2014,6,12459
758,python,2014,7,14151
759,python,2014,8,12863
760,python,2014,9,12255
761,python,2014,10,13349
762,python,2014,11,13916
763,python,2014,12,12998
764,python,2015,1,13742
765,python,2015,2,14200
766,python,2015,3,15967
767,python,2015,4,16378
768,python,2015,5,16288
769,python,2015,6,16210
770,python,2015,7,16950
771,python,2015,8,15226
772,python,2015,9,14832
773,python,2015,10,16889
774,python,2015,11,16337
775,python,2015,12,15623
785,sql,2008,8,1166
786,sql,2008,9,3438
787,sql,2008,10,2738
788,sql,2008,11,1719
789,sql,2008,12,1946
790,sql,2009,1,2665
791,sql,2009,2,2860
792,sql,2009,3,2763
793,sql,2009,4,2783
794,sql,2009,5,3109
795,sql,2009,6,3441
796,sql,2009,7,3725
797,sql,2009,8,3322
798,sql,2009,9,4318
799,sql,2009,10,4621
800,sql,2009,11,3897
801,sql,2009,12,3810
802,sql,2010,1,3589
803,sql,2010,2,3652
804,sql,2010,3,3937
805,sql,2010,4,3466
806,sql,2010,5,3714
807,sql,2010,6,4102
808,sql,2010,7,4706
809,sql,2010,8,4576
810,sql,2010,9,4269
811,sql,2010,10,4438
812,sql,2010,11,4879
813,sql,2010,12,4201
814,sql,2011,1,5089
815,sql,2011,2,4614
816,sql,2011,3,4889
817,sql,2011,4,4002
818,sql,2011,5,4626
819,sql,2011,6,4801
820,sql,2011,7,4497
821,sql,2011,8,4569
822,sql,2011,9,4346
823,sql,2011,10,4081
824,sql,2011,11,4635
825,sql,2011,12,4382
826,sql,2012,1,4502
827,sql,2012,2,4923
828,sql,2012,3,5781
829,sql,2012,4,5251
830,sql,2012,5,5373
831,sql,2012,6,4852
832,sql,2012,7,5537
833,sql,2012,8,5599
834,sql,2012,9,5387
835,sql,2012,10,6065
836,sql,2012,11,5846
837,sql,2012,12,5353
838,sql,2013,1,6379
839,sql,2013,2,6293
840,sql,2013,3,7203
841,sql,2013,4,6923
842,sql,2013,5,6894
843,sql,2013,6,6403
844,sql,2013,7,7748
845,sql,2013,8,7112
846,sql,2013,9,7188
847,sql,2013,10,8016
848,sql,2013,11,7583
849,sql,2013,12,6961
850,sql,2014,1,7907
851,sql,2014,2,7730
852,sql,2014,3,8112
853,sql,2014,4,8346
854,sql,2014,5,7287
855,sql,2014,6,6814
856,sql,2014,7,7459
857,sql,2014,8,6875
858,sql,2014,9,6591
859,sql,2014,10,5987
860,sql,2014,11,5109
861,sql,2014,12,4834
862,sql,2015,1,5157
863,sql,2015,2,5134
864,sql,2015,3,5791
865,sql,2015,4,6122
866,sql,2015,5,5789
867,sql,2015,6,6032
868,sql,2015,7,5976
869,sql,2015,8,5643
870,sql,2015,9,5220
871,sql,2015,10,5307
872,sql,2015,11,4967
873,sql,2015,12,4990
